,id,has_startup
171,jl_137dac2ee7b76feb,1
172,jl_27c78225ff663692,1
173,jl_d5f2bbab01e098f1,1
174,jl_a164e874031221fc,1
175,jl_2b93e30cbfd8ff41,1
176,jl_c725e27a4d97f0e8,1
177,jl_e5ce2df3050b1154,1
178,jl_840e48f4af0e5f46,1
179,jl_104ac56715c63005,1
180,jl_776b9db77d9d2fe8,1
181,jl_ec92ad6e4808497f,1
182,jl_f68459789de42a7d,1
183,jl_bc4a2c85eb8d27e4,1
184,jl_691b0450a948de20,1
185,jl_f2a0213aa42df962,1
186,jl_d0786a593ce3d0e5,1
187,jl_4027c5d198e39c04,1
188,jl_7ec13d8d56b60275,1
189,jl_0b37042b9d64f67c,1
190,jl_089f591e30eeed8c,1
191,jl_7859147e08c52906,1
192,jl_767fafb2c67f8b4c,1
193,jl_82ad26380e8617ce,1
194,jl_e62342b587f697af,1
195,jl_1c2c8863212b7f96,1
196,jl_41649c4a8ba69418,1
197,jl_c0653daeb0f6d100,1
198,jl_11af9acdb610afc1,1
199,jl_f3700f100375c29f,1
200,jl_06957d8f878afdf7,1
201,jl_e754ce28f36c4ace,1
202,jl_d5a1a4c1e1a508a3,1
203,jl_c02035fff98bfd45,1
204,jl_3001192cf89f06b0,1
205,jl_9b6656f58ab2546c,1
206,jl_eba35cc86197d2a1,1
207,jl_5e2e6998ec182a6a,1
208,jl_f379e24e35f2f043,1
209,jl_626b5d80714c3971,1
210,jl_9ef863afc95fb76b,1
211,jl_484b12e1bb0f45c5,1
212,jl_c62f846f332037b2,1
213,jl_02698ddc0ffd5696,1
214,jl_a29f364b7cee3d1d,1
215,jl_688311d0b8457ad7,1
216,jl_dbc07853063d02ad,1
217,jl_22bb4301328e0b80,1
218,jl_610f00c537e130a7,1
219,jl_f8ef9db42d025917,1
220,jl_36e27b0e5144df51,1
221,jl_ee744923ebf990d9,1
222,jl_fcd47e023087ac23,1
223,jl_6600be51ffc706fa,1
224,jl_867cd1b8d8edf248,1
225,jl_ae9cfbef41233d6b,1
226,jl_797dd684ced93148,1
227,jl_41d8a9a99327af72,1
228,jl_c881e9e969ebdcb7,1
229,jl_379feb4e1b5b972d,1
230,jl_d59516a611b7a011,1
231,jl_c13bfe5deaf8b296,1
232,jl_a2a7ab5748ac4179,1
233,jl_0dc3e8ec1c990237,1
234,jl_2980b883c17f295e,1
235,jl_6e0597718975aeda,1
236,jl_28736a953e9fece1,1
237,jl_e1e4886fc199f229,1
238,jl_3e0193cbe56d86aa,1
239,jl_690d8c69fd54e5aa,1
240,jl_b48f6f2ea5d1b675,1
241,jl_774533c5c6a58f87,1
242,jl_0b88f453e6987b06,1
243,jl_9c4b47789592b03e,1
244,jl_9a4419dcd59fcfe5,1
245,jl_a8765371184f1211,1
246,jl_45d34a2daa3c26bf,1
247,jl_7bf234822ee4a595,1
248,jl_8802b3462cbbc7a9,1
249,jl_f7ff29b98a841012,1
250,jl_14f72ccbbad6c125,1
251,jl_491e8fca18216cc8,1
252,jl_fda42ac0efb2b26b,1
253,jl_e47ca3e2bb531f44,1
254,jl_557b306ce903c110,1
255,jl_8b277ada46fe0a50,1
256,jl_ba34b9c406e58af8,1
257,jl_4e5a49e7b57bd181,1
258,jl_682dfbc0f8c2979b,1
259,jl_400c125a43a40d57,1
260,jl_1ce5959a5308cdc5,1
261,jl_31bd907dc349ce83,1
262,jl_baa9d7201515ccaf,1
263,jl_d63c1acce3ed8474,1
264,jl_700ec3386a5142a5,1
265,jl_eb0254fd1cae7268,1
266,jl_0851b211dbf3e3e8,1
267,jl_08b514f4a446280a,1
268,jl_155805abf7177e2d,1
269,jl_88f8ba6e27c470fa,1
270,jl_b10707640f7e1590,1
271,jl_48808848217d64f0,1
272,jl_245db200f5d3556e,1
273,jl_2f403be68aee190b,1
274,jl_c2cbd644ae59f5c4,1
275,jl_077daac3b8b47c18,1
276,jl_fb86620734f305fe,1
277,jl_60c00ae9e15f9b07,1
278,jl_21b8f2d75ccf375e,1
279,jl_3b2e3adb4fd427d9,1
280,jl_80ebfd1608c2497b,1
281,jl_d0867b967589a872,1
282,jl_f03b82f8c5e1232c,1
283,jl_7663507b6814a310,1
284,jl_974be8244344ce39,1
285,jl_1cd14944abbffaeb,1
286,jl_caae85351cd782ca,1
