account_key,join_date,join_year,join_month,join_day,days_active
307,2015-02-10,2015,2,10,194
337,2015-02-10,2015,2,10,194
30,2015-02-10,2015,2,10,194
82,2015-03-05,2015,3,5,171
348,2015-03-05,2015,3,5,171
139,2015-03-06,2015,3,6,170
185,2015-04-01,2015,4,1,144
281,2014-11-14,2014,11,14,282
191,2015-03-10,2015,3,10,166
415,2015-03-10,2015,3,10,166
836,2015-07-16,2015,7,16,38
319,2014-12-30,2014,12,30,236
285,2015-03-10,2015,3,10,166
71,2015-04-07,2015,4,7,138
1073,2015-01-07,2015,1,7,228
421,2015-01-08,2015,1,8,227
9,2015-01-08,2015,1,8,227
144,2015-03-06,2015,3,6,170
344,2015-01-11,2015,1,11,224
517,2015-03-06,2015,3,6,170
586,2015-03-10,2015,3,10,166
492,2015-03-10,2015,3,10,166
1259,2015-03-10,2015,3,10,166
149,2015-03-11,2015,3,11,165
78,2015-04-01,2015,4,1,144
558,2015-04-01,2015,4,1,144
246,2015-04-01,2015,4,1,144
455,2015-04-01,2015,4,1,144
106,2015-03-10,2015,3,10,166
591,2015-04-01,2015,4,1,144
31,2015-03-10,2015,3,10,166
906,2015-03-10,2015,3,10,166
601,2015-03-10,2015,3,10,166
321,2015-07-09,2015,7,9,45
571,2015-04-01,2015,4,1,144
1267,2015-04-02,2015,4,2,143
392,2015-04-02,2015,4,2,143
578,2015-04-02,2015,4,2,143
86,2015-04-02,2015,4,2,143
158,2015-04-04,2015,4,4,141
642,2015-01-11,2015,1,11,224
214,2015-01-12,2015,1,12,223
1242,2015-03-10,2015,3,10,166
168,2015-04-08,2015,4,8,137
152,2014-11-17,2014,11,17,279
539,2014-12-03,2014,12,3,263
1251,2014-12-05,2014,12,5,261
613,2014-12-05,2014,12,5,261
453,2014-12-08,2014,12,8,258
380,2014-12-08,2014,12,8,258
451,2015-04-01,2015,4,1,144
625,2015-04-02,2015,4,2,143
1154,2015-04-05,2015,4,5,140
853,2015-07-17,2015,7,17,37
690,2015-04-08,2015,4,8,137
424,2015-04-06,2015,4,6,139
379,2015-04-07,2015,4,7,138
395,2015-04-08,2015,4,8,137
1299,2015-04-08,2015,4,8,137
589,2015-04-08,2015,4,8,137
433,2015-04-08,2015,4,8,137
555,2015-04-09,2015,4,9,136
676,2015-04-13,2015,4,13,132
127,2015-04-24,2015,4,24,121
201,2015-04-24,2015,4,24,121
396,2015-04-24,2015,4,24,121
267,2015-04-24,2015,4,24,121
240,2015-04-24,2015,4,24,121
647,2015-05-06,2015,5,6,109
559,2015-05-07,2015,5,7,108
476,2015-05-08,2015,5,8,107
516,2015-05-11,2015,5,11,104
77,2015-01-07,2015,1,7,228
56,2015-01-07,2015,1,7,228
207,2015-01-07,2015,1,7,228
103,2015-01-07,2015,1,7,228
460,2015-05-07,2015,5,7,108
446,2015-01-07,2015,1,7,228
232,2015-01-08,2015,1,8,227
515,2015-01-08,2015,1,8,227
59,2015-01-10,2015,1,10,225
900,2015-05-11,2015,5,11,104
357,2015-01-11,2015,1,11,224
279,2015-04-08,2015,4,8,137
136,2015-04-08,2015,4,8,137
306,2015-04-08,2015,4,8,137
436,2015-02-08,2015,2,8,196
35,2015-02-08,2015,2,8,196
463,2015-02-09,2015,2,9,195
284,2015-04-08,2015,4,8,137
239,2015-03-04,2015,3,4,172
475,2015-05-09,2015,5,9,106
276,2015-05-10,2015,5,10,105
608,2015-05-10,2015,5,10,105
341,2015-05-10,2015,5,10,105
501,2015-05-11,2015,5,11,104
25,2015-05-12,2015,5,12,103
674,2015-05-12,2015,5,12,103
771,2015-05-13,2015,5,13,102
63,2015-05-28,2015,5,28,87
481,2015-05-28,2015,5,28,87
42,2015-05-30,2015,5,30,85
939,2015-04-24,2015,4,24,121
11,2015-04-24,2015,4,24,121
262,2015-04-24,2015,4,24,121
167,2015-04-24,2015,4,24,121
302,2015-04-24,2015,4,24,121
551,2015-04-24,2015,4,24,121
609,2015-04-24,2015,4,24,121
109,2015-05-06,2015,5,6,109
211,2015-05-06,2015,5,6,109
274,2015-05-06,2015,5,6,109
360,2015-05-06,2015,5,6,109
540,2015-05-08,2015,5,8,107
1173,2015-05-08,2015,5,8,107
112,2015-05-08,2015,5,8,107
479,2015-05-09,2015,5,9,106
237,2015-05-10,2015,5,10,105
487,2015-05-10,2015,5,10,105
304,2015-05-10,2015,5,10,105
330,2015-05-10,2015,5,10,105
1250,2015-05-11,2015,5,11,104
27,2015-05-11,2015,5,11,104
260,2015-05-11,2015,5,11,104
511,2015-05-11,2015,5,11,104
399,2015-05-12,2015,5,12,103
977,2015-05-12,2015,5,12,103
556,2015-05-12,2015,5,12,103
1265,2015-05-12,2015,5,12,103
252,2015-05-12,2015,5,12,103
100,2015-02-05,2015,2,5,199
313,2015-02-05,2015,2,5,199
615,2015-03-05,2015,3,5,171
372,2015-03-06,2015,3,6,170
614,2015-03-06,2015,3,6,170
652,2015-03-10,2015,3,10,166
1185,2015-05-13,2015,5,13,102
490,2015-05-13,2015,5,13,102
365,2015-05-13,2015,5,13,102
220,2015-05-29,2015,5,29,86
124,2015-05-31,2015,5,31,84
496,2015-06-03,2015,6,3,81
405,2015-06-04,2015,6,4,80
452,2015-06-04,2015,6,4,80
318,2015-06-05,2015,6,5,79
266,2015-06-06,2015,6,6,78
219,2015-06-06,2015,6,6,78
83,2015-06-06,2015,6,6,78
121,2015-06-07,2015,6,7,77
459,2015-06-08,2015,6,8,76
1032,2015-06-08,2015,6,8,76
128,2015-06-08,2015,6,8,76
1031,2015-06-09,2015,6,9,75
673,2015-06-01,2015,6,1,83
843,2015-06-02,2015,6,2,82
216,2015-06-02,2015,6,2,82
554,2015-06-07,2015,6,7,77
133,2015-06-08,2015,6,8,76
887,2015-06-08,2015,6,8,76
248,2015-06-09,2015,6,9,75
629,2015-06-09,2015,6,9,75
478,2015-06-09,2015,6,9,75
1096,2015-07-15,2015,7,15,39
163,2015-07-09,2015,7,9,45
605,2015-02-06,2015,2,6,198
381,2015-02-09,2015,2,9,195
26,2015-02-11,2015,2,11,193
508,2015-03-04,2015,3,4,172
509,2015-03-05,2015,3,5,171
432,2015-03-09,2015,3,9,167
375,2015-03-09,2015,3,9,167
183,2015-04-01,2015,4,1,144
400,2015-04-01,2015,4,1,144
585,2015-04-01,2015,4,1,144
13,2015-04-01,2015,4,1,144
205,2015-04-01,2015,4,1,144
593,2015-04-02,2015,4,2,143
437,2015-04-02,2015,4,2,143
468,2015-04-02,2015,4,2,143
22,2015-04-03,2015,4,3,142
449,2015-04-03,2015,4,3,142
482,2015-04-03,2015,4,3,142
349,2015-04-03,2015,4,3,142
104,2015-04-10,2015,4,10,135
286,2015-07-08,2015,7,8,46
812,2015-07-09,2015,7,9,45
462,2015-07-09,2015,7,9,45
1001,2015-07-09,2015,7,9,45
213,2015-07-14,2015,7,14,40
359,2015-07-15,2015,7,15,39
21,2015-07-17,2015,7,17,37
633,2015-07-17,2015,7,17,37
1014,2015-07-18,2015,7,18,36
40,2015-07-15,2015,7,15,39
1216,2015-07-16,2015,7,16,38
1131,2015-07-16,2015,7,16,38
1150,2015-07-16,2015,7,16,38
403,2015-07-16,2015,7,16,38
773,2015-07-17,2015,7,17,37
305,2015-03-10,2015,3,10,166
485,2015-03-10,2015,3,10,166
464,2015-04-01,2015,4,1,144
340,2015-04-01,2015,4,1,144
75,2015-04-01,2015,4,1,144
1072,2015-04-02,2015,4,2,143
588,2015-04-02,2015,4,2,143
291,2015-04-02,2015,4,2,143
