account_key,join_date,cancel_date,days_active,status
1090,2014-11-11,2014-11-26,16,0
1091,2015-05-12,2015-05-18,7,0
1092,2015-02-05,2015-02-09,5,0
1093,2015-06-08,2015-06-11,4,0
1094,2014-11-10,2014-12-17,38,0
1095,2014-12-09,2015-08-13,248,0
1096,2015-07-08,2015-08-27,51,1
1097,2015-03-05,2015-03-11,7,0
1098,2014-11-10,2015-08-27,291,1
1099,2015-05-11,2015-07-18,69,0
1100,2015-03-10,2015-03-16,7,0
1102,2015-01-08,2015-06-15,159,0
1103,2015-01-13,2015-07-20,189,0
1104,2015-04-10,2015-04-17,8,0
1105,2015-02-09,2015-02-13,5,0
1106,2015-06-07,2015-06-13,7,0
1107,2014-11-11,2014-11-19,9,0
1108,2014-11-12,2014-11-16,5,0
1109,2015-01-12,2015-01-16,5,0
1110,2015-08-13,2015-08-27,15,1
1111,2014-11-11,2015-04-18,159,0
1112,2015-02-10,2015-02-13,4,0
1113,2015-05-06,2015-08-27,114,1
1114,2014-11-12,2014-11-18,7,0
1115,2015-04-08,2015-05-15,38,0
1116,2015-08-15,2015-08-18,4,0
1117,2014-11-11,2015-01-15,66,0
1118,2014-11-12,2014-12-24,43,0
1119,2015-03-11,2015-08-16,159,0
1120,2014-12-04,2014-12-04,1,0
1121,2014-11-11,2015-02-18,100,0
1122,2014-11-10,2014-11-17,8,0
1123,2015-04-03,2015-05-10,38,0
1124,2014-12-09,2015-08-27,262,1
1125,2015-05-31,2015-05-31,1,0
1126,2015-07-10,2015-07-15,6,0
1127,2014-12-07,2014-12-08,2,0
1128,2015-03-11,2015-06-18,100,0
1129,2015-02-11,2015-03-07,25,0
1130,2014-12-03,2015-01-25,54,0
1131,2015-07-16,2015-08-27,43,1
1132,2014-12-03,2014-12-08,6,0
1133,2015-07-09,2015-07-15,7,0
1134,2015-01-08,2015-01-09,2,0
1135,2014-12-04,2014-12-08,5,0
1136,2015-08-18,2015-08-27,10,1
1137,2015-01-08,2015-01-10,3,0
1138,2015-04-07,2015-04-12,6,0
1139,2014-11-11,2015-02-18,100,0
1140,2015-01-10,2015-02-17,39,0
1141,2015-01-09,2015-01-15,7,0
1142,2014-11-10,2015-07-17,250,0
1143,2015-08-11,2015-08-27,17,1
1144,2015-08-18,2015-08-27,10,1
1145,2015-04-04,2015-04-04,1,0
1146,2014-11-16,2014-12-23,38,0
1147,2015-07-19,2015-08-27,40,1
1148,2015-03-09,2015-03-09,1,0
1149,2015-04-01,2015-08-27,149,1
1150,2015-07-16,2015-08-27,43,1
1151,2015-05-11,2015-08-27,109,1
1152,2014-12-05,2015-07-22,230,0
1153,2015-02-06,2015-03-13,36,0
1154,2015-04-05,2015-08-27,145,1
1155,2015-07-17,2015-07-17,1,0
1156,2014-12-06,2014-12-08,3,0
1157,2015-08-22,2015-08-27,6,1
1158,2015-04-07,2015-04-09,3,0
1159,2015-07-16,2015-07-21,6,0
1160,2014-12-05,2015-01-12,39,0
1161,2014-11-13,2014-12-20,38,0
1162,2015-08-14,2015-08-19,6,0
1163,2015-05-06,2015-06-13,39,0
1164,2015-01-09,2015-01-14,6,0
1165,2015-01-12,2015-01-13,2,0
1166,2014-12-03,2014-12-10,8,0
1167,2014-12-03,2015-01-10,39,0
1168,2015-03-10,2015-03-16,7,0
1169,2015-07-10,2015-07-17,8,0
1170,2015-04-05,2015-07-12,99,0
1171,2015-01-07,2015-01-07,1,0
1172,2015-06-09,2015-06-10,2,0
1173,2015-05-08,2015-08-27,112,1
1174,2014-11-10,2015-02-17,100,0
1175,2015-04-02,2015-06-09,69,0
1176,2015-08-12,2015-08-27,16,1
1177,2015-03-06,2015-08-27,175,1
1178,2015-07-16,2015-08-07,23,0
1179,2015-07-17,2015-07-22,6,0
1180,2014-12-09,2014-12-13,5,0
1181,2014-12-05,2015-08-27,266,1
1182,2015-05-11,2015-08-27,109,1
1183,2015-05-11,2015-08-08,90,0
1184,2015-05-29,2015-06-04,7,0
1185,2015-05-13,2015-08-27,107,1
1186,2015-03-11,2015-03-11,1,0
1187,2015-06-09,2015-06-15,7,0
1188,2015-02-10,2015-03-17,36,0
1189,2015-04-07,2015-05-14,38,0
1190,2015-03-06,2015-03-06,1,0
1191,2015-01-11,2015-01-11,1,0
1192,2015-05-12,2015-05-17,6,0
1193,2015-04-04,2015-04-07,4,0
1194,2015-03-11,2015-07-08,120,0
1195,2015-01-13,2015-01-16,4,0
1196,2015-03-04,2015-03-11,8,0
1197,2015-07-09,2015-07-11,3,0
1198,2015-02-11,2015-04-11,60,0
1199,2014-12-08,2015-01-15,39,0
1200,2015-03-04,2015-04-11,39,0
1201,2014-12-07,2015-01-14,39,0
1202,2015-05-07,2015-06-14,39,0
1203,2014-12-04,2014-12-09,6,0
1204,2014-11-10,2014-12-17,38,0
1205,2015-07-17,2015-08-05,20,0
1206,2015-06-03,2015-08-27,86,1
1207,2015-02-06,2015-02-28,23,0
1208,2015-02-05,2015-03-13,37,0
1209,2015-07-09,2015-08-27,50,1
1210,2015-02-07,2015-03-14,36,0
1211,2014-11-14,2015-08-27,287,1
1212,2015-01-10,2015-07-27,199,0
1213,2015-01-12,2015-01-12,1,0
1214,2014-11-10,2015-01-15,67,0
1215,2015-05-11,2015-07-18,69,0
1216,2015-07-16,2015-08-27,43,1
1217,2015-06-06,2015-08-27,83,1
1218,2014-11-15,2014-11-15,1,0
1219,2014-11-12,2014-11-12,1,0
1220,2014-11-10,2014-12-17,38,0
1221,2014-11-14,2014-11-21,8,0
1222,2015-04-07,2015-04-07,1,0
1223,2014-12-08,2014-12-13,6,0
1224,2015-07-20,2015-08-27,39,1
1225,2014-12-05,2014-12-10,6,0
1226,2015-02-05,2015-05-12,97,0
1227,2015-06-09,2015-08-27,80,1
1228,2015-08-19,2015-08-27,9,1
1229,2015-02-09,2015-02-12,4,0
1230,2014-11-17,2014-11-19,3,0
1231,2015-07-09,2015-08-27,50,1
1232,2015-07-16,2015-07-17,2,0
