account_key,delta001,delta002,delta003,delta004,delta005,delta006,delta007,delta008,delta009,delta010,delta011,delta012,delta013,delta014,delta015,delta016,delta017,delta018,delta019,delta020,delta021,delta022,delta023,delta024,delta025,delta026,delta027,delta028,delta029,delta030,delta031,delta032,delta033,delta034,delta035,delta036,delta037,delta038,delta039,delta040,delta041,delta042,delta043,delta044,delta045,delta046,delta047,delta048,delta049,delta050,delta051,delta052,delta053,delta054,delta055,delta056,delta057,delta058,delta059,delta060,delta061,delta062,delta063,delta064,delta065,delta066,delta067,delta068,delta069,delta070,delta071,delta072,delta073,delta074,delta075,delta076,delta077,delta078,delta079,delta080,delta081,delta082,delta083,delta084,delta085,delta086,delta087,delta088,delta089,delta090,delta091,delta092,delta093,delta094,delta095,delta096,delta097,delta098,delta099,delta100,delta101,delta102,delta103,delta104,delta105,delta106,delta107,delta108,delta109,delta110,delta111,delta112,delta113,delta114,delta115,delta116,delta117,delta118,delta119,delta120,delta121,delta122,delta123,delta124,delta125,delta126,delta127,delta128,delta129,delta130,delta131,delta132,delta133,delta134,delta135,delta136,delta137,delta138,delta139,delta140,delta141,delta142,delta143,delta144,delta145,delta146,delta147,delta148,delta149,delta150,delta151,delta152,delta153,delta154,delta155,delta156,delta157,delta158,delta159,delta160,delta161,delta162,delta163,delta164,delta165,delta166,delta167,delta168,delta169,delta170,delta171
258.0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,15,3,6,6,13,16,1,1,1,1,2,2,2,2,9,3,4,1,2,1,1,1,6,2,2,19,1,1,1,1,2,8,3,1,3,1,1,4,1,1,1,2,1,2,3,1,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259.0,1,1,2,1,1,27,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,2,2,1,1,1,1,2,3,5,3,2,3,1,1,1,1,1,2,2,2,1,1,3,4,1,6,2,5,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260.0,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,16,4,8,1,4,1,1,3,1,6,11,1,1,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261.0,1,9,6,1,7,1,1,1,1,1,6,1,1,6,1,1,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.0,5,9,8,8,7,7,6,1,7,14,7,6,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.0,2,3,1,1,1,1,1,3,1,1,1,1,1,1,9,1,1,2,8,1,1,2,1,1,1,1,1,1,9,1,8,17,6,1,1,1,48,2,1,9,3,1,8,1,1,1,46,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264.0,1,1,1,5,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,14,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265.0,1,5,1,4,1,1,5,1,2,1,1,1,1,8,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266.0,1,1,1,1,2,1,2,1,1,2,1,2,3,2,1,1,1,2,1,1,3,1,2,5,1,1,1,1,1,1,2,8,1,2,3,3,2,4,1,3,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267.0,3,2,63,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268.0,1,1,142,2,1,3,5,43,1,18,9,6,1,5,1,1,1,1,6,1,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.0,4,9,19,7,6,15,6,7,1,1,1,1,3,1,1,1,1,3,2,1,1,4,1,1,4,8,1,1,1,3,2,1,1,24,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.0,1,1,1,2,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,5,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,3,19,20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.0,1,1,1,1,2,3,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272.0,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,1,13,1,1,1,1,1,1,1,1,1,2,5,1,4,7,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.0,1,2,7,5,1,1,3,3,1,3,3,2,1,1,2,1,2,1,1,1,1,1,1,2,2,5,3,1,1,2,1,8,3,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,19,1,1,1,7,8,1,11,1,2,4,4,1,2,1,1,3,1,1,1,18,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,4,6,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,7,1,2,1,1,1,7,6,1,1,1,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.0,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,5,2,1,1,1,2,1,2,1,3,1,1,3,1,1,1,1,1,1,2,1,1,1,4,2,3,4,1,1,1,1,1,1,1,4,2,1,1,1,1,3,1,1,1,6,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.0,3,4,2,1,3,1,1,1,6,1,1,1,1,1,3,4,1,6,1,2,1,4,1,1,3,1,1,3,1,1,1,1,1,7,6,1,1,1,3,1,1,3,2,6,2,2,4,7,1,1,1,3,2,1,5,1,2,14,21,5,1,1,4,1,2,6,1,1,2,1,10,11,6,4,5,6,2,4,1,1,1,1,2,5,1,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.0,1,1,2,2,2,2,4,9,3,13,2,11,1,4,5,4,1,3,1,1,1,1,2,10,1,1,4,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.0,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,2,1,3,2,1,1,1,1,1,2,1,1,2,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,2,1,1,1,7,1,1,1,2,1,1,1,1,1,1,7,1,2,2,1,1,5,1,1,4,5,1,1,4,3,1,1,2,2,1,1,2,1,1,1,3,20,1,3,1,13,1,21,1,1,1,1,1,2,2,1,1,1,4,21,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.0,3,1,2,1,3,1,1,1,9,1,2,2,3,2,7,12,15,1,1,2,4,2,6,2,1,1,1,1,1,10,4,1,7,4,1,1,1,1,5,14,6,10,5,6,22,1,1,1,1,1,17,1,1,1,1,1,1,1,1,1,1,3,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279.0,1,2,2,1,4,1,1,5,1,12,8,4,2,2,6,1,4,9,5,2,3,40,4,5,4,1,1,1,4,14,1,4,2,4,5,1,1,1,10,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.0,1,1,1,1,4,2,5,1,1,1,1,1,2,1,1,1,1,9,2,1,2,4,5,1,2,1,1,1,2,1,1,1,1,4,1,2,6,1,1,2,1,1,1,1,4,1,1,1,1,3,1,1,1,1,3,1,1,1,7,2,1,1,3,1,2,1,1,1,1,2,1,2,1,3,1,1,1,7,1,1,2,1,1,3,1,1,1,10,2,3,1,1,4,1,12,17,29,2,11,2,5,1,1,1,9,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281.0,16,6,1,1,1,1,1,1,1,14,1,5,8,29,1,1,1,1,1,1,8,1,1,1,9,14,6,1,9,11,1,1,1,1,11,1,1,1,6,1,1,1,1,1,1,1,1,2,8,10,3,31,8,1,4,2,3,1,1,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282.0,1,4,3,1,12,1,2,5,2,1,1,12,9,1,2,2,3,6,1,3,8,5,6,1,2,1,1,1,4,1,1,4,1,1,1,1,1,6,2,18,1,4,7,5,1,8,1,1,2,1,1,49,2,2,1,1,1,2,3,1,1,6,7,1,14,6,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283.0,1,7,5,1,5,1,2,1,1,1,4,2,1,2,4,13,1,1,2,8,1,1,1,1,5,1,1,2,1,2,1,1,6,1,1,4,7,4,12,4,2,1,1,2,1,1,1,1,12,1,1,1,2,1,1,1,2,22,5,4,2,10,4,6,1,6,3,1,1,1,1,1,6,1,1,1,1,2,1,1,2,12,10,3,1,6,7,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284.0,1,3,32,21,6,1,28,1,1,1,66,3,1,1,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285.0,6,27,8,1,1,2,5,18,1,7,1,5,1,1,1,1,1,3,8,9,1,2,1,17,2,1,1,1,1,1,2,2,17,8,1,1,1,1,24,1,6,12,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286.0,4,3,1,4,1,2,4,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287.0,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,5,1,3,1,4,3,5,1,1,1,3,2,1,2,1,1,1,3,1,1,2,1,2,3,1,1,8,4,2,1,2,1,1,1,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288.0,2,1,3,2,12,1,1,1,4,1,1,1,1,1,11,1,5,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,5,14,11,1,3,2,1,3,1,1,1,1,2,1,1,1,4,2,2,1,2,1,1,1,3,2,1,1,1,4,1,1,1,3,2,14,33,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289.0,1,1,1,2,1,1,1,1,5,1,1,1,3,1,1,2,4,7,1,2,4,1,1,5,2,6,2,10,10,1,3,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290.0,2,1,1,1,5,1,1,3,1,2,1,8,4,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291.0,7,1,9,1,1,2,1,1,1,7,6,2,1,2,1,26,15,8,2,3,1,3,1,3,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292.0,1,2,1,1,2,1,1,1,1,17,1,1,1,1,3,1,2,2,3,1,1,1,2,1,1,1,1,1,3,1,2,1,3,7,1,1,1,3,1,1,1,1,2,2,1,1,1,3,1,7,1,1,1,1,3,1,6,1,1,1,4,2,1,1,3,1,1,1,4,1,2,4,1,2,1,3,1,6,7,1,7,2,2,2,1,1,1,4,1,2,5,1,2,1,2,1,1,1,3,1,6,1,1,1,1,5,6,1,1,1,6,5,1,6,5,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.0,3,1,1,1,1,1,1,3,2,9,1,4,3,1,5,1,1,1,1,1,1,5,1,2,1,3,1,1,1,1,2,1,1,1,2,1,1,3,1,4,3,1,4,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294.0,1,2,1,4,3,1,2,4,1,2,1,2,1,1,1,2,1,1,1,1,1,4,1,2,4,3,1,6,5,1,1,1,1,1,17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295.0,1,1,1,3,2,1,1,1,3,1,6,2,1,4,1,2,6,1,1,1,1,2,2,59,2,9,3,2,2,19,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296.0,1,3,4,1,9,3,1,1,1,1,1,1,4,4,1,1,1,2,2,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297.0,3,1,1,1,6,1,5,2,6,2,4,6,8,1,4,2,45,1,3,7,5,3,7,1,1,5,2,4,2,1,1,2,1,3,7,3,1,1,2,1,4,2,5,7,2,4,3,7,3,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298.0,3,1,5,1,2,3,1,1,2,3,1,1,1,1,3,1,1,1,5,1,1,1,3,3,1,7,2,5,3,1,1,2,3,1,1,2,1,1,1,10,1,3,1,1,1,1,1,2,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299.0,1,3,2,5,1,1,1,6,1,4,1,8,40,2,2,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,4,6,1,1,5,1,1,2,1,2,1,2,8,1,1,1,4,1,2,1,2,8,3,1,1,1,2,1,1,1,2,1,3,2,1,1,1,2,1,7,1,6,2,5,2,4,1,14,1,1,5,11,10,1,6,1,5,8,9,9,30,1,1,1,4,1,1,2,1,2,8,3,3,1,1,2,2,1,1,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301.0,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,12,7,1,1,1,2,1,1,1,1,2,2,29,13,67,3,1,6,1,1,2,4,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302.0,4,2,6,1,13,1,8,11,7,1,12,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,5,11,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.0,1,5,1,1,1,5,6,1,1,5,4,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,28,1,1,1,1,1,1,4,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305.0,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,2,1,1,8,8,6,1,1,1,1,1,3,1,1,1,5,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,2,1,2,5,17,1,1,1,1,1,1,1,3,3,1,1,3,1,2,1,2,9,1,1,1,3,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306.0,4,5,1,2,2,1,1,1,1,3,1,6,4,17,1,3,1,1,1,10,5,1,1,4,1,2,1,1,1,1,1,1,1,1,1,2,1,2,5,14,6,3,1,4,4,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307.0,13,1,1,1,1,2,1,1,1,1,2,1,2,4,3,1,13,6,3,4,2,5,1,8,1,1,10,1,1,1,1,1,1,1,1,20,2,1,1,1,2,14,1,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308.0,1,1,1,1,1,1,1,9,1,5,1,1,1,2,1,2,3,1,1,6,4,3,1,1,4,1,1,1,1,5,2,2,1,1,3,12,6,1,2,7,1,1,2,1,1,1,1,13,4,7,2,6,1,1,4,9,1,5,3,14,4,3,10,1,1,1,4,1,2,1,4,6,1,1,5,1,3,1,2,13,1,1,1,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309.0,1,1,2,17,6,13,2,2,1,1,2,5,2,7,1,1,1,1,1,9,10,10,1,1,1,1,1,2,1,1,2,1,1,5,2,3,1,5,2,3,10,1,1,6,1,1,6,1,1,2,1,7,2,2,3,1,10,31,1,2,18,1,1,3,1,4,3,1,5,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310.0,1,1,1,1,3,1,3,15,2,9,1,4,1,1,1,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.0,4,10,2,3,1,7,4,1,1,5,2,47,3,1,7,10,1,8,4,6,1,1,9,1,26,20,8,3,1,1,4,2,1,1,15,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312.0,1,1,1,2,1,3,1,1,1,1,1,6,1,6,4,2,1,11,2,5,2,8,1,1,1,1,10,10,2,1,3,1,3,1,1,1,1,11,2,1,2,2,1,7,1,1,1,1,3,1,1,1,1,7,5,1,6,5,1,89,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313.0,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,9,3,4,5,1,1,1,1,1,1,1,2,5,1,3,1,1,1,1,13,1,4,1,2,10,3,2,1,5,1,5,1,3,2,34,2,6,3,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314.0,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,14,1,1,1,2,1,1,1,10,1,2,1,3,2,3,3,1,1,3,1,2,1,1,1,1,1,2,1,3,4,8,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315.0,1,1,1,1,1,2,4,1,2,1,1,3,8,3,2,2,1,1,4,1,2,1,7,1,1,1,2,1,2,1,5,5,2,4,1,1,1,2,1,1,1,5,1,1,1,1,3,1,1,1,1,2,1,1,1,5,1,1,1,1,3,3,1,3,5,16,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
