account_key,delta001,delta002,delta003,delta004,delta005,delta006,delta007,delta008,delta009,delta010,delta011,delta012,delta013,delta014,delta015,delta016,delta017,delta018,delta019,delta020,delta021,delta022,delta023,delta024,delta025,delta026,delta027,delta028,delta029,delta030,delta031,delta032,delta033,delta034,delta035,delta036,delta037,delta038,delta039,delta040,delta041,delta042,delta043,delta044,delta045,delta046,delta047,delta048,delta049,delta050,delta051,delta052,delta053,delta054,delta055,delta056,delta057,delta058,delta059,delta060,delta061,delta062,delta063,delta064,delta065,delta066,delta067,delta068,delta069,delta070,delta071,delta072,delta073,delta074,delta075,delta076,delta077,delta078,delta079,delta080,delta081,delta082,delta083,delta084,delta085,delta086,delta087,delta088,delta089,delta090,delta091,delta092,delta093,delta094,delta095,delta096,delta097,delta098,delta099,delta100,delta101,delta102,delta103,delta104,delta105,delta106,delta107,delta108,delta109,delta110,delta111,delta112,delta113,delta114,delta115,delta116,delta117,delta118,delta119,delta120,delta121,delta122,delta123,delta124,delta125,delta126,delta127,delta128,delta129,delta130,delta131,delta132,delta133,delta134,delta135,delta136,delta137,delta138,delta139,delta140,delta141,delta142,delta143,delta144,delta145,delta146,delta147,delta148,delta149,delta150,delta151,delta152,delta153,delta154,delta155,delta156,delta157,delta158,delta159,delta160,delta161,delta162,delta163,delta164,delta165,delta166,delta167,delta168,delta169,delta170,delta171
20.0,1,1,2,1,2,1,1,1,1,3,3,1,2,3,1,1,6,12,1,5,1,1,1,4,1,1,1,1,3,3,1,3,1,1,5,5,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,1,1,1,1,1,1,1,1,2,1,8,5,1,1,6,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1,1,1,1,3,1,1,5,1,1,5,1,1,1,8,2,3,2,7,1,2,3,2,3,7,1,27,1,1,1,1,1,1,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,1,2,6,14,1,1,1,1,1,1,1,1,1,1,1,2,10,1,1,1,1,1,1,2,3,2,1,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,1,2,1,1,1,1,1,1,1,3,2,1,3,1,19,1,1,3,1,2,3,1,1,1,1,1,3,3,4,2,3,3,2,1,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,1,1,2,1,1,1,1,1,7,6,12,1,1,1,1,1,1,4,1,1,3,8,1,1,1,2,1,1,1,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,5,1,1,7,2,7,1,1,1,1,2,5,6,3,1,3,2,1,1,10,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,1,1,1,1,1,1,1,1,1,1,1,3,1,15,5,3,1,2,3,3,3,3,1,6,3,1,1,1,1,105,1,1,1,1,1,1,1,1,1,2,1,1,2,3,2,2,5,1,2,6,2,1,1,1,7,1,8,3,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,2,4,27,4,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,4,3,1,1,1,9,4,1,1,3,4,9,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1,1,1,1,3,1,1,1,5,1,1,1,3,1,1,1,1,3,3,1,4,1,1,1,1,5,4,7,1,3,4,1,1,6,1,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,2,1,1,1,2,12,2,1,4,1,3,4,1,1,3,1,1,1,2,8,2,1,1,1,5,1,1,1,4,1,5,1,1,1,6,2,3,1,1,1,4,1,1,6,2,3,5,3,1,1,1,6,5,1,2,1,3,1,1,1,1,4,2,8,9,1,1,7,20,2,6,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,3,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,5,1,6,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,1,11,7,3,18,1,4,1,4,4,7,8,6,2,6,6,2,4,3,2,17,14,28,5,9,7,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,1,2,3,3,3,1,1,4,5,1,1,4,5,2,14,2,1,2,1,1,1,1,1,1,31,71,6,1,2,1,4,15,4,2,1,1,1,17,9,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,3,2,2,4,1,2,2,5,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,3,2,3,3,11,9,14,3,6,5,1,1,1,2,1,1,1,1,2,15,4,6,1,1,1,5,10,14,2,1,1,6,34,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,2,2,1,4,1,1,3,1,1,1,1,1,1,1,1,1,4,7,1,1,1,2,2,1,2,4,2,1,3,1,3,5,1,3,12,3,5,1,2,1,2,1,1,2,1,1,2,1,1,3,7,1,1,1,1,1,2,18,1,4,3,2,1,1,2,1,1,1,1,4,1,1,1,3,1,1,1,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,3,7,1,41,9,1,21,37,7,3,1,1,1,1,1,1,1,1,2,1,4,2,1,26,8,1,4,1,1,1,1,2,1,1,1,1,4,14,3,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,4,2,1,5,1,1,1,1,3,1,1,1,1,1,2,2,7,1,1,3,2,2,4,1,3,5,8,12,8,7,1,3,3,2,1,1,1,1,1,1,21,1,1,3,1,1,2,1,1,1,1,2,1,3,1,1,1,1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,1,1,1,1,1,1,4,1,2,6,16,4,1,1,4,3,5,1,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,2,1,1,1,1,1,4,2,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,3,1,1,1,12,1,1,1,1,1,2,2,2,3,2,1,2,1,1,1,2,1,1,1,1,1,6,1,1,1,6,2,1,2,2,4,3,11,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,3,1,1,1,1,1,2,2,1,1,1,1,1,5,1,1,1,1,2,2,1,1,1,9,4,2,6,1,1,3,11,,,,,,,,,
38.0,4,1,21,6,6,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,7,2,6,6,1,1,1,1,2,1,1,1,1,3,1,1,2,4,1,5,11,4,2,1,2,1,1,1,1,4,1,1,1,1,3,1,1,2,3,1,2,4,3,4,1,8,1,1,4,1,1,1,3,1,1,2,12,1,1,3,2,1,1,3,3,5,1,1,4,1,1,1,1,4,7,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,3,1,2,4,1,2,1,2,1,2,1,1,1,2,1,1,2,1,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0,1,1,2,1,1,1,1,1,2,1,1,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,1,1,1,5,2,2,1,1,4,1,1,1,1,1,1,12,1,11,1,2,11,2,1,2,1,3,1,1,5,2,11,3,1,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,2,1,4,3,1,1,2,1,1,7,1,1,1,2,3,1,3,17,6,1,1,5,22,1,1,1,1,1,1,1,1,1,11,1,1,1,2,19,2,1,10,1,1,1,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43.0,1,9,1,4,2,5,2,1,3,1,1,2,1,9,9,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.0,1,1,1,4,4,6,4,3,2,1,10,13,1,1,1,9,3,3,4,1,1,14,6,7,1,10,4,18,4,2,2,1,2,7,12,3,9,1,3,1,29,5,10,9,4,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.0,1,1,2,2,1,1,2,1,3,2,1,1,1,1,1,1,1,1,3,1,1,1,7,1,13,1,1,1,1,5,1,2,4,1,1,5,8,1,1,2,2,1,13,1,1,1,11,32,6,1,5,2,1,1,1,7,1,1,1,1,1,2,1,6,1,2,1,1,3,1,2,1,3,2,4,1,1,5,1,1,1,5,1,4,2,1,30,5,1,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.0,12,6,1,1,1,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,6,2,9,5,10,3,1,1,1,2,4,5,1,7,3,10,11,35,6,1,4,1,18,38,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.0,1,2,1,1,1,2,10,3,2,1,1,3,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,1,1,1,1,1,1,1,1,9,1,1,1,1,1,2,1,1,13,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.0,29,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1,2,1,1,3,1,4,1,1,1,7,2,2,1,2,4,1,1,6,1,1,1,1,3,1,2,1,1,1,1,1,1,4,2,2,1,2,4,3,1,1,1,2,6,3,1,2,5,1,1,1,4,1,1,4,1,4,1,2,1,12,1,1,7,1,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.0,1,4,1,1,1,1,3,1,1,6,2,1,11,1,27,43,1,6,19,31,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.0,13,1,1,1,1,1,1,1,1,1,1,9,3,1,1,1,3,1,7,3,1,2,1,8,1,1,3,4,1,10,7,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
