account_key,projects_completed,completed_one_or_more,first_completion,join_date,days_to_completion,minutes_to_completion,visits_to_completion
79.0,3.0,1.0,2015-03-02,2014-12-09,83.0,2376.13337933,27.0
80.0,3.0,1.0,2015-07-11,2015-06-07,34.0,738.366725333,8.0
81.0,4.0,1.0,2014-12-18,2014-11-10,38.0,1606.253881,15.0
82.0,1.0,1.0,2015-07-24,2015-03-05,141.0,2009.08469183,37.0
83.0,4.0,1.0,2015-07-16,2015-06-06,40.0,2340.61863517,22.0
84.0,1.0,1.0,2015-07-01,2015-05-06,56.0,2576.935931,20.0
85.0,8.0,1.0,2014-12-12,2014-11-11,31.0,2993.54294167,25.0
86.0,2.0,1.0,2015-06-09,2015-04-02,68.0,2281.310101,17.0
87.0,2.0,1.0,2015-03-25,2015-01-12,72.0,3380.13358266,31.0
88.0,1.0,1.0,2015-01-23,2014-11-15,69.0,1927.2183775,23.0
89.0,1.0,1.0,2015-07-07,2015-05-07,61.0,1844.79314283,27.0
90.0,2.0,1.0,2015-02-27,2014-11-10,109.0,3153.839253,50.0
91.0,2.0,1.0,2015-01-07,2014-11-10,58.0,2200.3345385,33.0
92.0,5.0,1.0,2015-01-15,2014-11-12,64.0,3271.1561755,25.0
93.0,2.0,1.0,2015-02-24,2015-01-07,48.0,3733.27962967,29.0
94.0,1.0,1.0,2015-06-11,2015-04-24,48.0,1673.34381683,25.0
96.0,2.0,1.0,2015-04-06,2014-11-17,140.0,5016.08499583,54.0
97.0,2.0,1.0,2015-07-03,2015-02-05,148.0,3348.11542867,47.0
98.0,1.0,1.0,2015-05-29,2015-04-02,57.0,1699.61312417,27.0
99.0,5.0,1.0,2015-04-13,2015-01-13,90.0,2921.13652217,37.0
100.0,3.0,1.0,2015-04-13,2015-02-05,67.0,5291.680514,34.0
101.0,2.0,1.0,2015-01-15,2014-11-12,64.0,2480.493277,32.0
102.0,3.0,1.0,2015-01-23,2014-11-10,74.0,2403.6950005,22.0
103.0,4.0,1.0,2015-02-24,2015-01-07,48.0,2626.60811717,26.0
104.0,2.0,1.0,2015-06-01,2015-04-10,52.0,7543.01829333,39.0
105.0,1.0,1.0,2015-04-18,2015-04-07,11.0,990.211549668,8.0
106.0,3.0,1.0,2015-01-23,2014-11-11,73.0,2021.20038533,26.0
108.0,5.0,1.0,2015-03-24,2015-01-07,76.0,8778.94580683,49.0
109.0,1.0,1.0,2015-07-23,2015-05-06,78.0,3200.280797,35.0
110.0,5.0,1.0,2015-02-10,2014-12-03,69.0,4566.11228017,28.0
111.0,1.0,1.0,2015-02-26,2014-12-07,81.0,1644.441262,15.0
112.0,2.0,1.0,2015-06-12,2015-05-08,35.0,762.956509666,11.0
113.0,1.0,1.0,2015-06-07,2015-03-04,95.0,4060.45763267,54.0
114.0,1.0,1.0,2015-07-08,2014-11-10,240.0,1096.53651333,20.0
115.0,3.0,1.0,2015-03-27,2015-01-11,75.0,1833.094404,33.0
116.0,2.0,1.0,2015-05-21,2015-05-06,15.0,2564.90422417,16.0
117.0,3.0,1.0,2015-05-26,2015-04-08,48.0,1342.35608133,15.0
118.0,2.0,1.0,2015-05-27,2015-04-06,51.0,2482.64108917,27.0
119.0,1.0,1.0,2015-06-12,2014-12-03,191.0,8398.77224783,128.0
120.0,1.0,1.0,2015-08-02,2015-05-11,83.0,1234.8720455,16.0
121.0,1.0,1.0,2015-08-09,2015-06-07,63.0,1134.97065083,20.0
122.0,3.0,1.0,2015-07-17,2015-07-17,0.0,200.6196815,1.0
123.0,1.0,1.0,2015-01-14,2014-11-10,65.0,1218.48293633,14.0
124.0,3.0,1.0,2015-07-13,2015-05-31,43.0,202.859728667,4.0
125.0,7.0,1.0,2015-05-21,2015-01-13,128.0,6523.50250667,63.0
126.0,2.0,1.0,2015-04-13,2014-11-14,150.0,3014.09490684,42.0
127.0,1.0,1.0,2015-06-09,2015-04-24,46.0,1941.575153,20.0
128.0,3.0,1.0,2015-06-25,2015-06-08,17.0,2730.54575233,13.0
129.0,1.0,1.0,2015-07-03,2015-05-11,53.0,1465.23773783,15.0
130.0,1.0,1.0,2015-02-24,2014-11-10,106.0,3815.34480383,52.0
131.0,2.0,1.0,2015-06-09,2014-11-14,207.0,3442.61333767,32.0
132.0,6.0,1.0,2015-04-01,2015-03-04,28.0,5416.45937267,28.0
133.0,1.0,1.0,2015-08-04,2015-06-08,57.0,1667.98015833,30.0
134.0,1.0,1.0,2015-05-21,2015-02-05,105.0,4278.58509667,31.0
135.0,3.0,1.0,2015-01-29,2014-11-14,76.0,3037.137183,33.0
136.0,2.0,1.0,2015-05-21,2015-02-05,105.0,2158.0931285,34.0
137.0,4.0,1.0,2015-02-24,2014-12-06,80.0,2695.439982,36.0
138.0,1.0,1.0,2015-05-03,2015-02-10,82.0,1587.10932683,26.0
139.0,5.0,1.0,2015-04-30,2015-03-06,55.0,1605.8916805,10.0
140.0,3.0,1.0,2015-02-12,2014-11-10,94.0,9376.40617617,48.0
141.0,1.0,1.0,2015-04-13,2015-03-07,37.0,2030.54625067,21.0
142.0,3.0,1.0,2015-03-10,2015-01-12,57.0,3273.6530505,34.0
143.0,1.0,1.0,2015-04-13,2015-02-09,63.0,2683.77633,36.0
144.0,3.0,1.0,2015-04-13,2015-01-09,94.0,1521.41646067,21.0
145.0,5.0,1.0,2014-12-12,2014-11-10,32.0,3100.1930465,23.0
147.0,2.0,1.0,2015-01-28,2014-12-03,56.0,1220.40689517,18.0
148.0,1.0,1.0,2015-01-31,2014-11-11,81.0,2916.95020083,33.0
149.0,2.0,1.0,2015-05-21,2015-03-11,71.0,4752.718733,23.0
150.0,5.0,1.0,2014-12-23,2014-11-10,43.0,2638.31687217,23.0
151.0,1.0,1.0,2015-02-24,2015-01-11,44.0,1727.11945833,22.0
152.0,2.0,1.0,2015-03-09,2014-11-17,112.0,3108.59730266,37.0
153.0,2.0,1.0,2015-03-17,2014-12-07,100.0,5210.85945733,51.0
154.0,2.0,1.0,2015-06-03,2015-05-09,25.0,1769.14236667,18.0
155.0,3.0,1.0,2015-02-16,2014-11-14,94.0,2598.39537217,29.0
156.0,2.0,1.0,2015-01-26,2014-11-10,77.0,1874.65335367,36.0
157.0,1.0,1.0,2015-01-14,2014-11-10,65.0,2678.4661425,40.0
158.0,1.0,1.0,2015-06-04,2015-04-04,61.0,1812.0708445,20.0
159.0,3.0,1.0,2015-02-12,2014-12-09,65.0,307.5771425,6.0
160.0,1.0,1.0,2014-12-05,2014-11-11,24.0,1892.5896355,22.0
161.0,5.0,1.0,2014-12-01,2014-11-12,19.0,1231.30081583,12.0
162.0,2.0,1.0,2015-06-10,2015-05-11,30.0,3088.6039955,23.0
163.0,5.0,1.0,2015-07-15,2015-07-09,6.0,3564.7332645,6.0
