0,1,2,3,4
8,1021,"[[42, 41], [25, 148]]",0.7421875,0.687650050178
9,997,"[[30, 42], [27, 151]]",0.724,0.729585006693
10,992,"[[34, 35], [34, 145]]",0.721774193548,0.73250240525
11,984,"[[31, 45], [34, 136]]",0.678861788618,0.746615130697
12,983,"[[47, 19], [36, 144]]",0.776422764228,0.719125048393
13,982,"[[46, 26], [29, 145]]",0.776422764228,0.718845795015
14,981,"[[36, 34], [30, 146]]",0.739837398374,0.752380952381
15,977,"[[46, 22], [33, 144]]",0.775510204082,0.766393442623
16,974,"[[47, 30], [32, 135]]",0.745901639344,0.767127308856
17,969,"[[45, 23], [28, 147]]",0.79012345679,0.752086060789
18,960,"[[38, 29], [35, 138]]",0.733333333333,0.777777777778
19,960,"[[48, 33], [31, 128]]",0.733333333333,0.780512465494
20,960,"[[44, 20], [25, 151]]",0.8125,0.754166666667
21,959,"[[50, 25], [28, 137]]",0.779166666667,0.766306369131
22,959,"[[36, 25], [34, 145]]",0.754166666667,0.778905160391
23,959,"[[32, 41], [21, 146]]",0.741666666667,0.774674569967
24,942,"[[39, 28], [24, 145]]",0.779661016949,0.752157711263
25,941,"[[34, 27], [24, 151]]",0.783898305085,0.751727792316
26,941,"[[40, 27], [40, 129]]",0.716101694915,0.774495671016
27,941,"[[37, 27], [29, 143]]",0.762711864407,0.771610195177
28,941,"[[44, 25], [28, 139]]",0.775423728814,0.778723404255
29,941,"[[36, 21], [28, 151]]",0.792372881356,0.780141843972
30,940,"[[30, 25], [22, 158]]",0.8,0.771664390958
31,940,"[[32, 24], [24, 155]]",0.795744680851,0.784397163121
32,939,"[[35, 23], [27, 150]]",0.787234042553,0.789798145117
33,939,"[[35, 22], [27, 151]]",0.791489361702,0.794062967792
34,938,"[[38, 35], [17, 145]]",0.778723404255,0.782369950994
35,938,"[[41, 29], [21, 144]]",0.787234042553,0.789486500472
36,938,"[[39, 27], [24, 145]]",0.782978723404,0.789452627751
37,931,"[[37, 17], [21, 158]]",0.836909871245,0.793676927631
38,929,"[[36, 31], [24, 142]]",0.763948497854,0.82324874039
39,908,"[[32, 21], [22, 152]]",0.810572687225,0.78556140784
40,863,"[[20, 26], [12, 158]]",0.824074074074,0.78669250646
41,856,"[[32, 16], [25, 141]]",0.808411214953,0.820869553091
42,853,"[[26, 23], [20, 145]]",0.799065420561,0.827856025039
43,834,"[[23, 15], [22, 149]]",0.822966507177,0.799993865783
44,820,"[[18, 26], [15, 146]]",0.8,0.829268292683
45,817,"[[27, 25], [14, 139]]",0.809756097561,0.826797385621
46,816,"[[22, 18], [13, 151]]",0.848039215686,0.821895424837
47,814,"[[31, 9], [26, 138]]",0.828431372549,0.831168099424
48,814,"[[22, 23], [16, 143]]",0.808823529412,0.855710100132
