account_key,join_date,cancel_date,days_active,status
1156,2014-12-06,2014-12-08,2,0
1157,2015-08-22,2015-08-27,5,1
1158,2015-04-07,2015-04-09,2,0
1159,2015-07-16,2015-07-21,5,0
1162,2015-08-14,2015-08-19,5,0
1164,2015-01-09,2015-01-14,5,0
1165,2015-01-12,2015-01-13,1,0
1166,2014-12-03,2014-12-10,7,0
1168,2015-03-10,2015-03-16,6,0
1169,2015-07-10,2015-07-17,7,0
1171,2015-01-07,2015-01-07,0,0
1172,2015-06-09,2015-06-10,1,0
1179,2015-07-17,2015-07-22,5,0
1180,2014-12-09,2014-12-13,4,0
1184,2015-05-29,2015-06-04,6,0
1186,2015-03-11,2015-03-11,0,0
1187,2015-06-09,2015-06-15,6,0
1190,2015-03-06,2015-03-06,0,0
1191,2015-01-11,2015-01-11,0,0
1192,2015-05-12,2015-05-17,5,0
1193,2015-04-04,2015-04-07,3,0
1195,2015-01-13,2015-01-16,3,0
1196,2015-03-04,2015-03-11,7,0
1197,2015-07-09,2015-07-11,2,0
1203,2014-12-04,2014-12-09,5,0
1213,2015-01-12,2015-01-12,0,0
1218,2014-11-15,2014-11-15,0,0
1219,2014-11-12,2014-11-12,0,0
1221,2014-11-14,2014-11-21,7,0
1222,2015-04-07,2015-04-07,0,0
1223,2014-12-08,2014-12-13,5,0
1225,2014-12-05,2014-12-10,5,0
1229,2015-02-09,2015-02-12,3,0
1230,2014-11-17,2014-11-19,2,0
1232,2015-07-16,2015-07-17,1,0
1233,2015-02-11,2015-02-16,5,0
1234,2014-12-09,2014-12-14,5,0
1237,2015-05-28,2015-05-28,0,0
1238,2014-11-10,2014-11-10,0,0
1239,2014-11-17,2014-11-19,2,0
1240,2015-01-12,2015-01-19,7,0
1241,2015-06-09,2015-06-09,0,0
1245,2014-12-05,2014-12-09,4,0
1246,2014-12-09,2014-12-15,6,0
1252,2014-12-05,2014-12-11,6,0
1255,2015-07-17,2015-07-23,6,0
1256,2015-07-18,2015-07-24,6,0
