account_key,cancel_date,days_to_cancel,join_date,cancel_year,cancel_month,cancel_day,join_year,join_month,join_day
700,2014-11-16,6.0,2014-11-10,2014.0,11.0,16.0,2014,11,10
429,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
429,2015-06-17,99.0,2015-03-10,2015.0,6.0,17.0,2015,3,10
60,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
60,2015-04-01,77.0,2015-01-14,2015.0,4.0,1.0,2015,1,14
1300,2014-11-16,6.0,2014-11-10,2014.0,11.0,16.0,2014,11,10
322,2015-02-02,84.0,2014-11-10,2015.0,2.0,2.0,2014,11,10
322,2015-02-12,0.0,2015-02-12,2015.0,2.0,12.0,2015,2,12
322,2015-03-10,26.0,2015-02-12,2015.0,3.0,10.0,2015,2,12
584,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
584,2015-03-10,55.0,2015-01-14,2015.0,3.0,10.0,2015,1,14
1006,2014-11-17,7.0,2014-11-10,2014.0,11.0,17.0,2014,11,10
458,2015-04-01,142.0,2014-11-10,2015.0,4.0,1.0,2014,11,10
458,2015-04-06,2.0,2015-04-04,2015.0,4.0,6.0,2015,4,4
1058,2015-01-14,65.0,2014-11-10,2015.0,1.0,14.0,2014,11,10
1058,2015-03-10,55.0,2015-01-14,2015.0,3.0,10.0,2015,1,14
45,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
315,2015-05-17,188.0,2014-11-10,2015.0,5.0,17.0,2014,11,10
408,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
408,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
408,2015-04-17,16.0,2015-04-01,2015.0,4.0,17.0,2015,4,1
51,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
51,2015-06-17,99.0,2015-03-10,2015.0,6.0,17.0,2015,3,10
323,2015-04-17,158.0,2014-11-10,2015.0,4.0,17.0,2014,11,10
130,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
130,2015-04-01,22.0,2015-03-10,2015.0,4.0,1.0,2015,3,10
130,2015-06-17,77.0,2015-04-01,2015.0,6.0,17.0,2015,4,1
550,2015-05-02,173.0,2014-11-10,2015.0,5.0,2.0,2014,11,10
550,2015-07-04,37.0,2015-05-28,2015.0,7.0,4.0,2015,5,28
44,2015-03-10,120.0,2014-11-10,2015.0,3.0,10.0,2014,11,10
1020,2014-11-15,5.0,2014-11-10,2014.0,11.0,15.0,2014,11,10
838,2014-11-11,1.0,2014-11-10,2014.0,11.0,11.0,2014,11,10
440,2015-02-18,99.0,2014-11-11,2015.0,2.0,18.0,2014,11,11
675,2014-11-16,5.0,2014-11-11,2014.0,11.0,16.0,2014,11,11
57,2015-02-18,99.0,2014-11-11,2015.0,2.0,18.0,2014,11,11
1090,2014-11-26,15.0,2014-11-11,2014.0,11.0,26.0,2014,11,11
541,2015-06-19,219.0,2014-11-12,2015.0,6.0,19.0,2014,11,12
756,2014-11-15,3.0,2014-11-12,2014.0,11.0,15.0,2014,11,12
