0,1,2,3,4
102,616,"[[11, 7], [13, 123]]",0.87012987013,0.865712697591
103,616,"[[8, 18], [3, 125]]",0.863636363636,0.887445887446
104,616,"[[9, 5], [13, 127]]",0.883116883117,0.874458874459
105,616,"[[15, 7], [9, 123]]",0.896103896104,0.874511264265
106,616,"[[8, 9], [12, 125]]",0.863636363636,0.878787878788
107,616,"[[7, 7], [11, 129]]",0.883116883117,0.878787878788
108,607,"[[11, 12], [9, 120]]",0.861842105263,0.890045892878
109,585,"[[10, 10], [7, 120]]",0.884353741497,0.874550046755
110,562,"[[8, 15], [4, 114]]",0.86524822695,0.900202634245
111,552,"[[16, 6], [2, 114]]",0.942028985507,0.871923470427
112,546,"[[8, 9], [6, 114]]",0.890510948905,0.875339916989
113,538,"[[9, 5], [4, 117]]",0.933333333333,0.880998793279
114,527,"[[13, 8], [5, 106]]",0.901515151515,0.881101087208
115,514,"[[11, 12], [4, 102]]",0.875968992248,0.885531750392
116,512,"[[14, 9], [7, 98]]",0.875,0.89584906992
117,512,"[[15, 10], [6, 97]]",0.875,0.903645833333
118,512,"[[7, 9], [8, 104]]",0.8671875,0.890625
119,512,"[[10, 9], [2, 107]]",0.9140625,0.888020833333
120,512,"[[8, 8], [5, 107]]",0.8984375,0.893229166667
121,511,"[[13, 3], [6, 106]]",0.9296875,0.874733431759
122,511,"[[11, 4], [3, 110]]",0.9453125,0.864234744094
123,511,"[[4, 11], [8, 105]]",0.8515625,0.885150098425
124,511,"[[6, 7], [6, 109]]",0.8984375,0.864275754593
125,511,"[[6, 7], [2, 113]]",0.9296875,0.890235400262
126,511,"[[11, 10], [8, 99]]",0.859375,0.906085958005
127,486,"[[11, 16], [2, 93]]",0.852459016393,0.906629634648
128,486,"[[10, 5], [3, 104]]",0.934426229508,0.887323307592
129,463,"[[7, 3], [4, 102]]",0.939655172414,0.899150424788
130,458,"[[13, 2], [10, 90]]",0.895652173913,0.904040015391
131,453,"[[9, 5], [6, 94]]",0.90350877193,0.911603769749
132,453,"[[10, 8], [2, 94]]",0.912280701754,0.914528208427
133,452,"[[4, 4], [5, 100]]",0.920353982301,0.902832764064
134,451,"[[7, 3], [3, 100]]",0.946902654867,0.881742520017
135,450,"[[9, 5], [4, 95]]",0.920353982301,0.902233459756
136,450,"[[6, 6], [5, 96]]",0.902654867257,0.872471554994
137,449,"[[6, 5], [7, 95]]",0.893805309735,0.925618254158
138,447,"[[9, 6], [4, 93]]",0.910714285714,0.910419347919
139,446,"[[10, 5], [3, 94]]",0.928571428571,0.910204847705
140,446,"[[4, 4], [8, 96]]",0.892857142857,0.916341991342
141,444,"[[6, 7], [7, 91]]",0.873873873874,0.915915915916
142,443,"[[8, 9], [4, 90]]",0.882882882883,0.912558012558
143,438,"[[5, 10], [2, 93]]",0.890909090909,0.893434343434
144,432,"[[8, 7], [5, 88]]",0.888888888889,0.88590991031
145,427,"[[6, 5], [8, 88]]",0.878504672897,0.912473794549
146,425,"[[4, 7], [6, 90]]",0.878504672897,0.918238993711
147,424,"[[6, 5], [6, 89]]",0.896226415094,0.90251572327
148,420,"[[0, 12], [1, 92]]",0.87619047619,0.930214596724
149,406,"[[6, 6], [4, 86]]",0.901960784314,0.904575163399
150,392,"[[3, 7], [1, 87]]",0.918367346939,0.877551020408
151,392,"[[7, 8], [3, 80]]",0.887755102041,0.897952099719
152,391,"[[6, 6], [8, 78]]",0.857142857143,0.894303863376
153,390,"[[5, 4], [3, 86]]",0.928571428571,0.869976856722
154,390,"[[5, 4], [3, 86]]",0.928571428571,0.883512167754
155,390,"[[3, 4], [5, 86]]",0.908163265306,0.90058910162
156,389,"[[3, 2], [4, 89]]",0.938775510204,0.872843467284
157,389,"[[3, 8], [6, 81]]",0.857142857143,0.896936437805
158,389,"[[8, 4], [8, 78]]",0.877551020408,0.903844355612
159,388,"[[2, 3], [6, 86]]",0.907216494845,0.904020414008
160,368,"[[6, 5], [4, 77]]",0.902173913043,0.891304347826
161,365,"[[4, 6], [3, 79]]",0.902173913043,0.904761904762
162,365,"[[1, 7], [4, 80]]",0.880434782609,0.904672541629
163,363,"[[2, 6], [6, 77]]",0.868131868132,0.911594202899
164,363,"[[4, 8], [1, 78]]",0.901098901099,0.900814000814
165,363,"[[3, 6], [5, 77]]",0.879120879121,0.911803011803
166,363,"[[4, 7], [3, 77]]",0.89010989011,0.915700483092
167,363,"[[5, 2], [2, 82]]",0.956043956044,0.886080586081
168,363,"[[6, 1], [7, 77]]",0.912087912088,0.922792022792
169,363,"[[3, 5], [3, 80]]",0.912087912088,0.911835748792
170,363,"[[3, 6], [2, 80]]",0.912087912088,0.930118030118
171,360,"[[7, 5], [2, 76]]",0.922222222222,0.903614072153
172,352,"[[4, 6], [2, 76]]",0.909090909091,0.916666666667
173,350,"[[2, 4], [3, 79]]",0.920454545455,0.908307210031
174,349,"[[1, 1], [3, 83]]",0.954545454545,0.911738677877
175,347,"[[2, 5], [1, 79]]",0.931034482759,0.85770293148
176,339,"[[2, 1], [4, 78]]",0.941176470588,0.897712418301
177,334,"[[3, 3], [3, 75]]",0.928571428571,0.919763840496
178,330,"[[5, 3], [7, 68]]",0.879518072289,0.927172103046
179,329,"[[5, 4], [5, 69]]",0.89156626506,0.926773036137
180,329,"[[3, 6], [5, 69]]",0.867469879518,0.934806373945
181,329,"[[5, 4], [5, 69]]",0.89156626506,0.906294857237
182,328,"[[4, 2], [4, 72]]",0.926829268293,0.890283204483
183,328,"[[4, 4], [5, 69]]",0.890243902439,0.918592769149
184,327,"[[6, 5], [4, 67]]",0.890243902439,0.938773461809
185,327,"[[6, 3], [2, 71]]",0.939024390244,0.918290445734
186,326,"[[5, 0], [3, 74]]",0.963414634146,0.901524390244
187,325,"[[2, 3], [2, 75]]",0.939024390244,0.930082555455
188,325,"[[7, 2], [3, 70]]",0.939024390244,0.884773662551
189,324,"[[7, 2], [4, 68]]",0.925925925926,0.913580246914
190,311,"[[4, 2], [3, 69]]",0.935897435897,0.927283686777
191,304,"[[6, 1], [3, 66]]",0.947368421053,0.916666666667
192,304,"[[3, 3], [0, 70]]",0.960526315789,0.925312523734
193,304,"[[5, 5], [5, 61]]",0.868421052632,0.947368421053
194,304,"[[4, 3], [7, 62]]",0.868421052632,0.929824561404
195,304,"[[3, 2], [5, 66]]",0.907894736842,0.947246905142
196,304,"[[3, 4], [0, 69]]",0.947368421053,0.934210526316
197,304,"[[3, 2], [1, 70]]",0.960526315789,0.942919419762
198,304,"[[3, 1], [4, 68]]",0.934210526316,0.921052631579
199,302,"[[5, 1], [2, 68]]",0.960526315789,0.929122807018
200,296,"[[4, 1], [3, 66]]",0.945945945946,0.936932000494
201,290,"[[3, 4], [2, 64]]",0.917808219178,0.953823397003
202,285,"[[2, 3], [1, 66]]",0.944444444444,0.924938520009
203,285,"[[3, 2], [2, 65]]",0.944444444444,0.934529398614
204,280,"[[7, 1], [7, 55]]",0.885714285714,0.961904761905
205,266,"[[4, 0], [3, 60]]",0.955223880597,0.92446856626
206,266,"[[6, 2], [5, 54]]",0.89552238806,0.934557979334
207,266,"[[7, 1], [1, 58]]",0.970149253731,0.924301569078
208,266,"[[5, 4], [2, 56]]",0.910447761194,0.954846977235
209,266,"[[6, 0], [3, 58]]",0.955223880597,0.919493441882
210,266,"[[5, 1], [1, 60]]",0.970149253731,0.924619327604
211,266,"[[4, 3], [0, 60]]",0.955223880597,0.939620081411
212,266,"[[6, 0], [4, 57]]",0.940298507463,0.949796472185
213,265,"[[3, 1], [2, 61]]",0.955223880597,0.954545454545
214,265,"[[5, 0], [2, 60]]",0.970149253731,0.944512866901
215,265,"[[5, 0], [3, 59]]",0.955223880597,0.964794906586
216,265,"[[6, 2], [0, 59]]",0.970149253731,0.944437486229
217,265,"[[6, 1], [2, 58]]",0.955223880597,0.969696969697
218,265,"[[4, 4], [1, 58]]",0.925373134328,0.974742835937
219,265,"[[3, 2], [0, 62]]",0.970149253731,0.939460042445
220,265,"[[4, 4], [2, 57]]",0.910447761194,0.949104129701
221,252,"[[3, 2], [0, 58]]",0.968253968254,0.947329962451
222,251,"[[2, 1], [1, 59]]",0.968253968254,0.9469192695
223,251,"[[4, 2], [0, 57]]",0.968253968254,0.952039597201
224,251,"[[2, 1], [2, 58]]",0.952380952381,0.957415941287
225,251,"[[2, 2], [1, 58]]",0.952380952381,0.952039597201
226,250,"[[4, 3], [1, 55]]",0.936507936508,0.973371497962
227,249,"[[3, 1], [1, 58]]",0.968253968254,0.951431033663
228,246,"[[4, 0], [2, 56]]",0.967741935484,0.972853869205
229,230,"[[5, 0], [2, 51]]",0.965517241379,0.965013107481
230,226,"[[6, 0], [2, 49]]",0.964912280702,0.958646616541
231,222,"[[3, 2], [0, 51]]",0.964285714286,0.981922398589
232,217,"[[4, 0], [1, 50]]",0.981818181818,0.969135802469
233,211,"[[3, 1], [1, 48]]",0.962264150943,0.936744073537
234,193,"[[5, 0], [2, 42]]",0.959183673469,0.972222222222
235,193,"[[4, 1], [1, 43]]",0.959183673469,0.979166666667
236,193,"[[4, 1], [2, 42]]",0.938775510204,0.986111111111
237,193,"[[2, 1], [1, 45]]",0.959183673469,0.992907801418
