account_key,join_date,join_year,join_month,join_day
1259,2015-03-10,2015,3,10
149,2015-03-11,2015,3,11
78,2015-04-01,2015,4,1
558,2015-04-01,2015,4,1
246,2015-04-01,2015,4,1
455,2015-04-01,2015,4,1
106,2015-03-10,2015,3,10
591,2015-04-01,2015,4,1
31,2015-03-10,2015,3,10
906,2015-03-10,2015,3,10
601,2015-03-10,2015,3,10
321,2015-07-09,2015,7,9
571,2015-04-01,2015,4,1
1267,2015-04-02,2015,4,2
392,2015-04-02,2015,4,2
578,2015-04-02,2015,4,2
86,2015-04-02,2015,4,2
158,2015-04-04,2015,4,4
642,2015-01-11,2015,1,11
214,2015-01-12,2015,1,12
1242,2015-03-10,2015,3,10
168,2015-04-08,2015,4,8
152,2014-11-17,2014,11,17
539,2014-12-03,2014,12,3
1251,2014-12-05,2014,12,5
613,2014-12-05,2014,12,5
453,2014-12-08,2014,12,8
380,2014-12-08,2014,12,8
451,2015-04-01,2015,4,1
625,2015-04-02,2015,4,2
1154,2015-04-05,2015,4,5
853,2015-07-17,2015,7,17
690,2015-04-08,2015,4,8
424,2015-04-06,2015,4,6
379,2015-04-07,2015,4,7
395,2015-04-08,2015,4,8
1299,2015-04-08,2015,4,8
589,2015-04-08,2015,4,8
433,2015-04-08,2015,4,8
555,2015-04-09,2015,4,9
676,2015-04-13,2015,4,13
127,2015-04-24,2015,4,24
201,2015-04-24,2015,4,24
396,2015-04-24,2015,4,24
267,2015-04-24,2015,4,24
240,2015-04-24,2015,4,24
647,2015-05-06,2015,5,6
559,2015-05-07,2015,5,7
476,2015-05-08,2015,5,8
516,2015-05-11,2015,5,11
77,2015-01-07,2015,1,7
56,2015-01-07,2015,1,7
207,2015-01-07,2015,1,7
103,2015-01-07,2015,1,7
460,2015-05-07,2015,5,7
446,2015-01-07,2015,1,7
232,2015-01-08,2015,1,8
515,2015-01-08,2015,1,8
59,2015-01-10,2015,1,10
900,2015-05-11,2015,5,11
357,2015-01-11,2015,1,11
279,2015-04-08,2015,4,8
136,2015-04-08,2015,4,8
306,2015-04-08,2015,4,8
436,2015-02-08,2015,2,8
