,Rank,Title,Release,Duration (Min),Genre,Rating,Votes
108,109,Indiana Jones and the Last Crusade,1989,127,Action,8.3,535910
109,110,Good Will Hunting,1998,126,Drama,8.3,632936
110,111,A Separation,2011,123,Drama,8.4,158919
111,112,Metropolis,1927,153,Drama,8.3,116532
112,113,Yojimbo,1961,110,Action,8.3,77018
113,114,All About Eve,1951,138,Drama,8.3,85937
114,115,Batman Begins,2005,140,Action,8.3,1019219
115,116,Up,2009,96,Animation,8.3,697356
116,117,Some Like It Hot,1959,120,Comedy,8.3,181827
117,118,The Treasure of the Sierra Madre,1948,126,Adventure,8.3,82256
118,119,Unforgiven,1992,131,Drama,8.3,288063
119,120,Downfall,2005,156,Biography,8.3,257654
120,121,Raging Bull,1980,129,Biography,8.3,243454
121,122,Arrival,2016,116,Drama,8.3,123323
122,123,The Third Man,1949,93,Film-Noir,8.3,117888
123,124,Die Hard,1988,131,Action,8.2,614736
124,125,Children of Heaven,1999,89,Drama,8.4,31844
125,126,The Great Escape,1963,172,Adventure,8.2,172165
126,127,Heat,1995,170,Action,8.2,446108
127,128,Chinatown,1974,130,Drama,8.2,224716
128,129,Inside Out,2015,95,Animation,8.2,387165
129,130,Pan's Labyrinth,2007,118,Drama,8.2,485142
130,131,Ikiru,1956,143,Drama,8.3,44402
131,132,My Neighbor Totoro,1988,86,Animation,8.2,182939
132,133,On the Waterfront,1954,108,Crime,8.2,104868
133,134,Room,2016,118,Drama,8.2,199111
134,135,Ran,1985,162,Action,8.3,80795
135,136,The Gold Rush,1925,95,Adventure,8.2,71050
136,137,The Secret in Their Eyes,2010,129,Drama,8.2,139140
137,138,The Bridge on the River Kwai,1957,161,Adventure,8.2,155516
138,139,Blade Runner,1982,117,Sci-Fi,8.2,479113
139,140,Mr. Smith Goes to Washington,1939,129,Comedy,8.2,80255
140,141,The Seventh Seal,1958,96,Drama,8.2,116505
141,142,Howl's Moving Castle,2005,119,Animation,8.2,225304
142,143,"Lock, Stock and Two Smoking Barrels",1998,107,Comedy,8.2,429141
143,144,Casino,1995,178,Biography,8.2,347172
144,145,The Bandit,1996,128,Crime,8.5,37787
145,146,Judgment at Nuremberg,1961,186,Drama,8.3,46904
146,147,Incendies,2011,139,Drama,8.2,87389
147,148,A Wednesday,2008,104,Crime,8.4,47088
148,149,A Beautiful Mind,2002,135,Biography,8.2,638936
149,150,The General,1927,67,Action,8.2,55903
150,151,Wild Strawberries,1959,91,Drama,8.2,65797
151,152,The Elephant Man,1980,124,Biography,8.2,168040
152,153,Warrior,2011,140,Action,8.2,345340
153,154,V for Vendetta,2006,132,Action,8.2,823563
154,155,The Wolf of Wall Street,2013,180,Biography,8.2,828108
155,156,Sunrise,1927,94,Drama,8.3,31029
156,157,The Passion of Joan of Arc,1928,114,Biography,8.3,27448
157,158,Gran Torino,2009,116,Drama,8.2,580883
158,159,Rang De Basanti,2006,157,Comedy,8.4,75844
159,160,Dial M for Murder,1954,105,Crime,8.2,111623
160,161,The Big Lebowski,1998,117,Comedy,8.2,559505
161,162,Trainspotting,1996,94,Drama,8.2,488893
162,163,Andaz Apna Apna,1994,160,Comedy,8.5,35624
163,164,Tokyo Story,1972,136,Drama,8.3,29027
164,165,The Deer Hunter,1979,183,Drama,8.2,241248
165,166,Hera Pheri,2000,156,Comedy,8.4,34352
166,167,Gone with the Wind,1940,238,Drama,8.2,222979
167,168,Fargo,1996,98,Crime,8.1,472493
168,169,Finding Nemo,2003,100,Animation,8.1,725635
169,170,The Sixth Sense,1999,107,Drama,8.1,728748
170,171,Cool Hand Luke,1967,126,Crime,8.2,124003
171,172,The Thing,1982,109,Horror,8.2,270113
172,173,Rebecca,1940,130,Drama,8.2,90786
173,174,No Country for Old Men,2007,122,Crime,8.1,639234
174,175,Munna Bhai M.B.B.S.,2003,156,Comedy,8.3,46692
175,176,How to Train Your Dragon,2010,98,Animation,8.2,507196
176,177,Sholay,1975,162,Action,8.4,34624
177,178,Into the Wild,2007,148,Adventure,8.2,444814
178,179,Kill Bill: Vol. 1,2003,111,Action,8.1,763947
179,180,Mary and Max,2009,92,Animation,8.2,124924
180,181,Gone Girl,2014,149,Crime,8.1,607758
181,182,There Will Be Blood,2008,158,Drama,8.1,388892
182,183,Come and See,1985,142,Drama,8.3,28176
183,184,It Happened One Night,1934,105,Comedy,8.2,67872
184,185,Life of Brian,1979,94,Comedy,8.1,282396
185,186,Rush,2013,123,Action,8.1,328361
186,187,Platoon,1987,120,Drama,8.1,301861
187,188,Hotel Rwanda,2005,121,Drama,8.1,273753
188,189,Shutter Island,2010,138,Mystery,8.1,824704
189,190,Network,1976,121,Drama,8.1,107952
190,191,The Wages of Fear,1955,131,Adventure,8.2,36920
